text,sentiment
"All we need to realise is Musa is useless. #ucl 
",negative
"One of the better players in European football and underrated too! ? #UCL https://t.co/aJ7FJ2NMfU
",positive
"Greizmann needs to cut his hair #UCL #finalthoughts 
",negative
"""For the first time since early December Jamie Vardy finally had a party. Leicester still alive in #UCL https://t.co/ehLIonuQQF ""
",positive
"El ? is back... With a classy goal!!! falcao #UCL #filthygoal… https://t.co/MpntxJZBHz
",positive
"I got some puzzled looks when @vardy7 scored &amp; I began jumping up&amp;down in an all glass office. Oops?? #LCFC #FoxesNeverQuit #VardyPardy #UCL 
",positive
"Blatant red card. @FCPorto players are scum. Referee spot on to send Telles. It's sad how referee was getting pushed. #porto #UCL
",negative
"Hypothetical question ! IF #swfc had won the #EPL &amp; were in the #UCL would you care if we got relegated the next season ? #swfc #wawaw 
",neutral
"The miracle that is Leicester City somehow remains alive in the Champions League. @LeanderAlphabet --&gt;… https://t.co/4Tvq5bdNPk 
",positive
"Man city 5-3 Monaco Sad that I missed it because of work.  Sensational 3rd goal by Falcao ? Silva's pass in the 5th goal ? #UCL 
",neutral
"""Top story: @ChampionsLeague: 'Mutual respect ?? #UCL ' https://t.co/m4WV0gcwdz see more https://t.co/rPAMkX9I7P ""
",neutral
"Finish from Saul #LEVATL #Championsleague 
",neutral
"""Not a bad result at all I'll take the away goal! Incredible atmosphere in seville! #lcfc #ChampionsLeague #last16 #awaydays #LeiSev""
",negative
"One more goal boys #LCFC #ChampionsLeague #Leicester #lasteight https://t.co/TlEuxdU4Gj
",neutral
"""Not better than Chelsea 4-2 Barcelona March 2005. https://t.co/yHvHy7GQvY ""
",negative
"""Porto v Juventus today Porto must score and cannot lose! Will be so hard back in Italy #PortoJuve""
",negative
"I was out last night and missed the football - did I miss anything interesting? #MCIASM #ChampionsLeague 
",neutral
"""Even if Leicester lose tonight make sure you win. Play Dribble tonight #ChampionsLeague #Leicester https://t.co/S4DqjfY1uA""
",positive
"Life is a matter of black and white #finoallafineforzajuventus #UCL #juveporto
",neutral
"Let's get this win Real Madrid. #RealMadrid
",positive
"What time is Basel vs Arsenal TV info and more ahead of the Champions League https://t.co/Zi5laB4ShS #UCL… https://t.co/lOfsRM0CF3 
",positive
"why do you always make shit players look great i don't fucking get ittttttttttttttt @realmadrid
",positive
"Had a feeling #RealMadrid would fuck me over today ? 
",negative
"I think @realmadrid has to get rid of #KeylorNavas he just isn't good enough
",negative
"""I would love to see Jose Mourinho back in UCL !! Must win Europa league  for his confidence and will be his announcement back to top leval ""
",neutral
"There was a Mourinho who managed to Get in to UCL semi final with Ba and Torres upfront and a aged samuel Etoo 
",neutral
"We played against Athletico in UCL semi with Mark Shuwarzer on goal !!
",neutral
"Sevilla have won 10 of their 14 #UCL games (D1 L3) at home and have never failed to score in any of those 14 outing& https://t.co/LqBP0UR703
",positive
"Really hope we at least make a game of it against Seville! #UCL #SevLei #COYF 
",neutral
"It means we back in action !!!! d????? #championsleague @concacaf tonight 8pm ET& https://t.co/E1Pu2v9J0J
",neutral
"Pray for Leicester City. #UCL 
",neutral
"Had a double on Juventus and Sevilla tonight. Got a feeling in my bones 
",neutral
"Very happy with that Valencia win. Madrid have a tough game at the weekend so good chance for Barcelona to reclaim some points on Madrid! 
",positive
"A disaster display by the @realmadrid defence and 3 points lost. #ValenciaRealMadrid 
",negative
"we can't lose more points #HalaMadrid
",negative
"I Hate To See Ronaldo Wins...So I'm With #Juventus #UCL 
",positive
"If @juventusfc beat @realmadriden am going to get a Juventus tatto on my A$$  Come on Real Madrid  #HallaMadrid… https://t.co/eeZkOE6Wyc 
",neutral
".@realmadrid are one away from a #UCL milestone. Find out all about their magnificent goalscoring record. #UCLfinal  https://t.co/hUtZppFkzI 
",positive
"Only Ronaldo has scored more goals (8) in the Champions League knockout stages than Mbappe (6) this season. #UCL https://t.co/jGLY7AjaTe 
",positive
"""I'm so confident Real Madrid won't win. If Madrid wins I'll shave my hair like Zinedine Zidane ? #ChampionsLeague #UCLFinal ""
",positive
"Made ittttttt ....weeee areeee theeee championssss #UCL  https://t.co/2hXx3SODvi 
",positive
"That champions league song is still the only song that gets the hairs on the back of my neck standing #ChampionsLeague 
",positive
"@Cristiano 's goal didn't help @realmadrid to win  #Realmadridvalencia 
",negative
"Lol isn't he a Barcelona fan ? https://t.co/EJabvzAPG8 
",neutral
"Love you GiGi but I love Iker more... so this time  Let's go @FCPorto #UCL 
",positive
"Can't believe @realmadrid lost to damn!!! 14th Place @valenciacf wtf #KeylorNavasisTrash 
",negative
"Porto vs. Juventus is gonna be a better game than Sevilla vs. Leicester City 
",neutral
"Couple of quid on 3-1 Sevilla tonight #ChampionsLeague #football 
",neutral
"Devastating loss for @realmadrid tonight. And just like that the @LaLiga title race is back on. Can't believe they lost 2-1 to @valenciacf. 
",neutral
"Last Monday our UEFA Pro professors were teaching Soccer Training Methodology to @DowntownUtdSC coaches.Thanks to a& https://t.co/oOXpS5NJqw 
",neutral
"think it's about time Juventus win a champions league. 
",neutral
"Let's end this early already cmon boys enough fancy shit put it in the net @AroundJFans @juvefcdotcom @juventusfcen #FinoAllaFine #UCL 
",neutral
"Juventus Champions League away jersey's are beautiful! I gotta get me one of those. #uefachampionsleague  #Uefa #Porto #Juventus 
",neutral
"""Screamed """"Yes!"""" when Schmeichel blocked the pen and nearly gave my wife a heart attack lol #UCL #lcfc ""
",negative
"Just seen 14 pens missed in this season's UCL ? 
",neutral
"""Leicester are woeful pull it together man #UCL""
",positive
"Watching the match! @ChampionsLeague @juventusfc 
",neutral
"Got money on Juventus. So expect Porto to graft out a nil nil ffs 
",neutral
"What a goal Sevilla! #UCL #LCFC #Sevilla 
",neutral
"You really have to trust the old Italian man giving you a straight razor shave while watching Juventus play. 
",neutral
"""Leicester look out of their depth Barcelona will be glad they didn't buy Mahrez he's aweful. https://t.co/kxfR0NHNmb ""
",negative
"@Minarzouki I feel like Juve does this every year in the UCL. 
",neutral
"Sevilla are talking the piss! #UCL #SEVLEI
",negative
"well that Gabigol has done more than Pjaca comments should die down now. #Ucl #Juventus 
",negative
"#SevillaFC can thank the lino for that !! Terrible decision #SEVLEI #UCL 
",negative
"Big Goal. #Vardy #leicester #UCL
",positive
"Feels like a win with that all important away goal #DontWriteUsOffYet #SevLei #ChampionsLeague https://t.co/YLIaOAp4FV
",positive
"@rickygervais hi Ricky I really need your help could I message/email you! It's about an event to do with UCL (for charity) 
",positive
"Because they don't have Messi ? it's very simple #HalaMadrid https://t.co/knIFxWIgoK 
",neutral
"If I was at Barcelona I would want Kyle Walker too
",positive
"Bonucci dropped by Juventus for Porto clash after Allegri outburst https://t.co/lWtPfnNNQC via https://t.co/h0AfAQcrss 
",neutral
"""After opening thoughts we are moving into #ChampionsLeague! ???https://t.co/wJJxhhwlB0 #PSG #Barcelona #Arsenal #BayernMunich @WBLZSports ""
",negative
"Did #RealMadrid dodge a bullet with the #AndreGomes Transfer? or is it too early to say?...#FCBarcelona  https://t.co/pOojzLmuxl 
",negative
"we are moving into #ChampionsLeague! ???https://t.co/wJJxhhwlB0 #PSG #Barcelona #Arsenal #UCL #SOCCER #BayernMunich @WBLZSports
",neutral
"When is #UEFA going to start banning these racists from attending games? Fines are not enough. https://t.co/E81wr8pgFx 
",neutral
"Real Madrid president Florentino tells board: We can buy Messi! #RealMadrid #HalaMadrid #FCBarcelona #ViscaBarca https://t.co/2pnK03FCJ4
",neutral
"He was very angry when he scored.  Bauza explains why Messi didn't celebrate #FCBarcelona goal… https://t.co/SKq3khPuUz 
",neutral
"""Luis Suarez Lionel Messi Penalty Trick Lights up FC Barcelona Rout of Celta Vigo #FCBarcelona https://t.co/wugNpW16ga #fcbarcelona ""
",negative
"""02-21 FC Barcelona Bayern Munich Face Difficult Away Ties #FCBarcelona https://t.co/TzrhjekLfp #fcbarcelona""
",positive
"""@LuisSuarez9 always working your very hardest as usual we will always be supporting you Luisito.  #viscabarca #fcbarcelona #Forabarca ""
",positive
"""Luis Suarez Lionel Messi Penalty Trick Lights up FC Barcelona... https://t.co/3D0ZDx6NIb #fcbarcelona ""
",neutral
"""02-21 Barcelona's brilliance Lionel Messi's penalty to be celebrated not reviled #FCBarcelona… https://t.co/FQaEQ4eQ4G""
",negative
"Neymar Helps FC Barcelona Defeat Athletic Bilbao in Copa Del Rey... https://t.co/414gXw1uta #fcbarcelona
",neutral
"""When Verratti was on the ground I told Iniesta that Verratti was his replacement. He said Yes that's what I th… https://t.co/4AQWeXEwF9 ""
",positive
"Messi didnt celebrate his winner against Leganes because he was angry - Bauza https://t.co/C42PKyM94N #fcb #laliga #ucl #psg #argentina 
",negative
"It really shouldn't come down to us cules begging God to make a miracle so we can beat Leganes in our home.  #fcbarcelona 
",negative
"Riyad Mahrez reveals his childhood dream #FCBarcelona... #FCBarcelona https://t.co/LaW7NoRppV
",neutral
"Practice makes perfect!!! Too easy for angeldimariajm #dimaria @psg_inside #psg #winger… https://t.co/07gz0ogirm 
",positive
"When you know that you are half way out of the Champions League but still believe in the team ????? #FCBPSG #UCL https://t.co/akKcj1At3N 
",positive
"#ManchesterCity will be hoping to put one foot in the #UEFA #ChampionsLeague quarter-finals when they welcome... https://t.co/w7SZDZW5AK
",neutral
"We believe in #FCBarcelona https://t.co/XuQnEgvRYl 
",neutral
"Tough to find the tranquil places in #Cardiff... but still possible #championsleague #realmadrid #juventus… https://t.co/Vcwvgh7Y7b 
",neutral
"Big Match Day ??? Go Monaco ???????  #monaco #uefa #championsleague #hope #win #power #football… https://t.co/JZvReUf18s 
",neutral
"Real Madrid is about to make  some history I don't know what kind if history  but soon enough you will the history  #UEFA
",positive
"""Probably not what Monaco want ahead of tonight's game but could it suggest PSG adopting a Bayern approach to trans… https://t.co/7Hg3GXMsme ""
",neutral
"#FCBarcelona | THIS could be Messi's next club   https://t.co/zY1sM3hDCv
",positive
"The fans better come to the second leg of the #PSG game or they'll be pissed it they miss the comeback!! #Pique being #Pique  ??????????? 
",positive
"I think we need to realise that the French league is a lot better than we thought #PSG #Monaco 
",positive
"The 2 french teams are easily the best 2 teams av seen in europe this season #psg #monaco ?? 
",positive
"@DannyHarkinJnr yet everyone said ?? league is ? not according to #PSG and #Monaco 
",neutral
"Better striker at their best?   Like for Edinson Cavani. RT for Radamel Falcao.  #porto #monaco #ASMonaco #PSG #UCL… https://t.co/Kf8Lsf0bzI 
",neutral
"Their aren't 2 teams who need teach other to be good like #PSG and #Monaco. Need each to be this good in the #UCL 
",neutral
"Odds on an all #French #UCL Final? #asm #psg @AS_Monaco @PSG_inside ?????? 
",neutral
"Is the standard of French Ligue 1 improving? https://t.co/nT2FR5nw48 by @Jack_Sumner_  #PSG #Monaco #CITYASM #cityvmonaco #UCL 
",neutral
"""#Monaco is explosive wow. So little #Ligue1 coverage in US that #PSG is only #French side I've regularly seen. Monaco is a fun team! ""
",positive
"The French league proving people wrong in the UCL #psg #asm 
",neutral
"Daymn its the French Revolution this year in the champions league ? #monaco #ManCity #psg #ChampionsLeague #Barcelona
",positive
"""Falcao the big name big player and missed the penalty very poor this could be the chance for city. Still 1 down city.  #MCvsMON  #uefa ""
",negative
"COME ON CITEH.... F@#K you #Uefa 
",negative
"TONIGHT 02.45 WIB #UCL Bayern vs Atletico LIVE @SCTV_ - Preview: https://t.co/OVVd44tDD6 https://t.co/lUTiUz4HRu 
",neutral
"""Featured: Zullo Theo #Atleti in #Munich #ADLvWEL #NEWvSYD #UCL goals footballers' homes &amp; #PL highlights. https://t.co/GQhGxuZWtA ""
",neutral
"""In fact Basel have only lost two of their 11 Champions League encounters with English clubs (W4 D5). #UCL #BFCvAFC #BASARS ""
",positive
"""MATCHDAY?? #UCL  FC BARCELONA vs BORUSSIA M'GLADBACH | Camp Nou | Rabu 7 Desember 2016 | Pkl. 02:45 WIB | LIVE beIN Sports 3 ""
",neutral
"""Meanwhile Basel have to better Ludogorets' result against PSG to finish third and secure a Europa League spot. #UCL #BFCvAFC #BASARS ""
",neutral
"ABC: Zidane has recovered one of his most important scorers this season as Morata returns from injury &amp; could play… https://t.co/yXVqQwWchE 
",positive
"COPE: Real Madrid aims to win against BVB to top their #UCL group. Morata &amp; Kroos have recovered. Bale is Zidane's… https://t.co/dVoeys1bni 
",positive
"All that waiting only to have the PK blocked ?. No need to wonder why @ManUtd loaned out @FALCAO #UEFA #MCvsMonaco
",neutral
"A corrupt organisation with bent officials #UEFA @UEFA no wonder #MCFC fans have little respect. 
",neutral
"Poor goalkeeping from the Monaco keeper. #uefa 
",positive
"@reednic check where his ? comes from. Usually find out years later #UEFA 
",neutral
"""What a game! City not going down without a fightFalcao redeeming himselfwhat a goal! #uefa ""
",positive
"What a goal by Falcao!!!!! What a game!!! #UEFA 
",positive
"""Falcao!!! Lol that's a beauty. What a response.... #uefa ""
",positive
"What a game... witnessing the best match of this season !! #UEFA #Falcaopunishing — watching Man City vs Monaco
",positive
"This #MCIASM match is craaaaazzzzzyyyy #UEFA 
",positive
"omfg plz how does a young Stones get done so bad by Falcao #uefa 
",neutral
"""Have to admit that was an impressive finish by @FALCAO #RedemptionGoal #UEFA ""
",positive
"The beauty #Falcao #uefa https://t.co/IocKjfoP4C
",positive
"What a game between Man City and Monaco #uefa #ChampionsLeague 
",positive
"""tbh…english clubs are overrated in europe completely dominated in europe #UCL #CityvMON #UEFA ""
",neutral
"What a game! #Falcao puts #Monaco back into the lead! #MCIMON #UEFA #ChampionsLeague #UCL #seanknows https://t.co/Yxmm01JKap 
",positive
"What a match is going on! #electrifying #UEFA #ChampionsLeague #UEFACL #MCIASM 
",neutral
"And the title for the most overrated defender goes to.... #Stones #UEFA #Manchester #Monaco 
",neutral
"Best game of the year so far!!!! Monaco/Manchester City!!!!!!! And still not finish yet!!!!! #UEFA
",neutral
"70 mins. 2 matches. 10 goals.  This is football.  #ChampionsLeague #uefa 
",positive
"There's a goal fest happening Live on #DigicelPlay channel 302 @SportsMax_Carib ...Man City 2-3 Monaco #UEFA… https://t.co/aXZBLi5I5b
",positive
"French teams are very competitive this season in UCL #PSG #MONACO #ChampionsLeague 
",neutral
"#MCIASM putting aside study and staying awake till 3 is all worth for this match. Brilliant High paced display by both teams. #uefa 
",positive
"Goals galore day! both games 2-3 away team leading!  10 goals scored in total  #UCL #UEFA #MNCvMON 
",positive
"#PSG dominated #Barcelona. #Monaco is dominating #ManCity. French football fans be like @Ligue1 &gt; @LaLiga @Ligue1 &gt;… https://t.co/umsoeAhsgt 
",neutral
"""this """" #UEFA vs us"""" mentality is hurting #CITY.. Just play football. ""
",negative
"De Bruyne's technique Is unmatched. #UEFA Champions League 
",neutral
"This match!!! What a goal by Aguero ?????? #uefa #uefachampionsleague 
",positive
"Watch the ref after the 3rd goal. Looking for a reason not to give it. #UEFA 
",positive
"and this is just the last 16? #uefa 
",neutral
"It's the final day #championsleague 
",neutral
"Im sorry real. But buffon is my idol so Forza Juve! First the league now the #UCL #ChampionsSofa https://t.co/kW7gluvF9P 
",negative
"Who will win the UEFA Champions league?  Retweet  ? for REAL MADRID LIKE  ?  for JUVENTUS  #UCL  #UCLfinal https https://t.co/cVLhtrg9tP 
",neutral
"In 58 years of the #ChampionsLeague Spain have won it 13 times. Talk about #Dominance. However only #RealMadrid and… https://t.co/Johy8IKxiY 
",neutral
"At 39yrs 126 days #Buffon could be the oldest player ever to win the #ChampionsLeague! #UCLfinal #seanknows https://t.co/2JiQQH5i4v 
",negative
"@realmadrid WE GOT THIS #UCL 
",neutral
"that's 3-3 ... #uefa #uefachampionsleague 
",neutral
"Champions league returns tonight!!! The only reason im excited about today :D #ChampionsLeague #football #uefachampionsleague #uefa 
",neutral
"Official Lineup: PSG vs FC Barcelona #PSGFCB #UEFA #UCL #ForaBara #FCBlive #LoveFCB  Lineup will be here within an hour. 
",neutral
"""Forgetti Vals day  #UEFA Champions League on my mind https://t.co/2as4Fk1ONP ""
",neutral
"This is going to be our #motd of the night: #PSGFCB  #uefa #championsleague #ucl #clientclash ? https://t.co/kakKhxjxUo 
",positive
"This match so lit #mancitymonaco #UEFA 
",positive
"Man U reject but I'm  rootin for Mon yknow wot I mean? #uefa #ManchesterCityMonaco  #Fallout4  #YNWA https://t.co/QgJlbobAsV 
",neutral
"Man City VS Monaco: this is one of the most entertaining Matches Iv watched this season. #UEFA 
",positive
"What a game of football this is. #CityVsMon #uefa
",positive
"Its raining goals #UEFA
",positive
"This ref gonna have to dish out another dodgy Monaco pen to cancel that one out now. What a farcical set of officials #MCIASM #uefa 
",positive
"#Aguero does it again! It's 3-3 at the #Etihad! #MCIMON #UEFA #ChampionsLeague #UCL #seanknows https://t.co/AYVAqJfSXl 
",positive
"""@robertmarawa be saying the ref's nickname is """"No Penalty"""" hahaha! I forsee the ref stealing the spotlight here #uefa ""
",negative
"When you thought it couldn't get any better than the game from #psg against #Barca! #ManCity and #monaco proof otherwise! #UCL #MatchdayLive 
",neutral
"This ref is giving everyone cards like he is Oprah! #ssfootball #uefa
",negative
"STONES !!! WHAT A GAME!  Up yours #uefa #mcfc 
",positive
"City back in the lead! Whata match! #UEFA #uefachampionsleague 4-3 
",positive
"""After that terrible mistake earlier Stones gives City a lead. #uefa ""
",negative
"#mancity 4-3 flipped the game on #monaco #uefa
",negative
"Goal!!!!! #mci  from John Stones!!!! #MCIASM #UCL  a different kind of excitement from #Barcelona vs #PSG 
",positive
"4-3 Finally Man city leads #Uefa??? 
",neutral
"John Stones........ 4-3 to #ManchesterCity #MCIMON #ChampionsLeague #UEFA #UCL #seanknows https://t.co/ukeCjsjUZ6 
",neutral
"classic match so far ... #uefa #MCMON
",positive
"What a turn of events #MCIMON #UCL #uefa #seanknows https://t.co/CEsT6ecs68 
",neutral
"Manchester City vs Monaco has been the best game of Round of 16 so far. #MCIASM #MCFC #UEFA #ChampionsLeague 
",negative
"Manchester City vs Monaco FC tonight is one of the best Champion's League matches in the recent times! #uefa #UCL 
",positive
"Wow wow wow!!!!! #UEFA #uefachampionsleague 
",neutral
"This is what football should always be like.  #MCFC #ASMonaco #MCFCASM #ManCity #LigadosCampees #UEFA #UCL 
",positive
"Man. City!!!! #uefa 
",neutral
"What a comeback by City. #uefa
",positive
"what an amazing goal BC ?.... outstanding from Sane ??#uefa
",positive
"So good to see many goals in #UEFA CHAMPIONS LEAGUE matches tonight 
",positive
"""#FernandoTorres strikes again #ElNino header. #Substitute #UEFA #UEFACL #AtleticoMadrid #BayerLeverkusen… https://t.co/R9vLNaTo8V ""
",positive
"Football. Where nothing happens. #mancity #monaco #ucl #uefa #UCLfi #MCIASM https://t.co/DNqL4MjzJb 
",neutral
"That Jesus injury is doing wonders for Aguero #UEFA #uefachampionsleague 
",positive
"""@UEFA Man City vs. Monaco WHAT A GAME! Guardiola 'Pep' is the best coach in the World!! Well done City! #uefa #guardiola #fifa #soccer #pep ""
",positive
"Man City vs Monaco is the best game of the tournament so far #ManMon #Uefa @SuperSportTV #SSFootball 
",positive
"""5 second half goals 6 subs? 3 mins added time you taking the pissss a need another goal you cunts ?? #ChampionsLeague #fifa #uefa !!!?#fix ""
",negative
"Dear #UEFA  can we never have this ref again please? #mcfc  #topwin 
",neutral
"""6 games played in the UCL-playoffs so far only PSG and Benfica has kept clean sheets. #PSG #UCL ""
",positive
"Half time 2_1 89 min 5_3 lol #Uefa
",neutral
"Parlay options at this stage of the #UCL are tough. So many matches are meaningless that it makes it tough to find reliable selections. 
",neutral
"@Atleti is sitting pretty at the top of #UCL Group D ahead of #FCBAtleti. They seem to have put 2 UCL finals heartbreak behind them 
",neutral
"Messi is two short of matching Cristiano Ronaldo's #UCL group stage record. https://t.co/0NEwL2lotU 
",positive
"Benfica - SSC Napoli betting tip. Read ?? https://t.co/HP8e0T9DLY #UCL. Here we have Benfica against Napoli in Champion League. Benfica had 
",neutral
"Are you excited for some #UCL action? Bet now on the much-awaited clash between #FCBayern and #Atleti @… https://t.co/oUFg4uWL0c 
",neutral
"Unsettled @ManCity target @celticfc @ChampionsLeague reaction #mcfc #cityvceltic #UCL https://t.co/heqjhH7EZ9 via @SCMP_News 
",neutral
"99.8 Step fm morning sports: @UPL #AlexIsabirye # @Bulfc1 #UCL @ManCity  and @ChelseaFC charged @Arsenal news #gossip etc #stepfmsport 
",positive
"Today is @ChampionsLeague day! Bet at https://t.co/GVxkW27TLI  &amp; get 5 BTC sign up bonus #bitcoin #soccer #UCL… https://t.co/JB8xEpfoVa 
",negative
"#UCL 13of16 teams into KOround TBD -- TUE #Napoli v #Benfica #Bestikas at #DynamoKiev &amp; WED #LCFC at ( #FCPorto or #Kobenhavn ) at #Brugge 
",neutral
"#UCL PREVIEW Liga Champions: Barcelona - Borussia Monchengladbach https://t.co/URdErns6bG 
",neutral
"Goal-ID | PREVIEW Liga Champions: Barcelona - Borussia Monchengladbach https://t.co/KES2ucta1w | #UCL 
",neutral
"Dynamo Kyiv - Besiktas betting tip. Read ?? https://t.co/Ril8rsUBfu #UCL. Here we have Dinamo Kiev against Besiktas in Champion League. Dina 
",negative
"#Xhaka brothers up for the battle!!  #FCBvAFC #BASARS #UCL https://t.co/JUZudc7UDq 
",neutral
"Man City will be hosting the Celts at Etihad for their last #UCL group stage clash. Can they reign supreme?  Bet @… https://t.co/LAzy5ZJnpk 
",neutral
"@bbosher do Madrid play tonight? #UCL 
",neutral
"""Stelar day in closed stage groups looking 2 places in Group B and more Drama about. ?? #UCL #RoadToCardiff https://t.co/zAMN14Y4cK ""
",neutral
"@garethbale11's most memorable Champions League goals. Which is your favourite?! #NissanME #UCL https://t.co/VCs34FVvTE 
",neutral
"Final group stage round in #UCL:  Barcelona - Gladbach #FCBBMG Basel - Arsenal #BASvAFC Bayern - Atleti #FCBAtleti Benfica - Napoli #SLBSSCN 
",neutral
"#BenficaNAPOLI Diretta Canale 5: info Rojadirecta Streaming Gratis Champions League #UCL https://t.co/UKE8k12E5T 
",neutral
"Can't wait for the second leg of this tie #cityvmonaco #uefa 
",positive
"A minute silent to anyone that misses Mancity vs Monaco #uefa champions league. 
",neutral
"These were some good games today!! 14 goals in two games!! #ChampionsLeague #ChampionsxFOX 
",positive
"#MCIASM  Thanks guys! Fantastic Game! Who ever comes in the next round.....#Bayern and #PSG are to strong for you!!! But today great show! 
",neutral
"OK so make that goal count 14... yup... 14 goals in 180 mins.... Lev 2-4 ATL and mayhem in Manchester as it's Man City 5-3 Monaco. #uefa 
",positive
"""Monaco will certainly score 2 goals at home come 2nd leg Man City ba ntjeng #UEFA ""
",neutral
"#UEFA Goals galore in #ChampionsLeague action Tuesday. #AtleticoMadrid 4 Bayer Leverkusen 2 #ManCity 5 Monaco 3 
",positive
"14 goals in tonights games #Uefa #UCl goal fest good game man city  Match of the tournament 
",positive
"""90+ minute still Bayer leverkusen 2:4 AtleticoMan city 5:3 Monaco #UEFA CHAMPIONS LEAGUE ""
",neutral
"I missed the game due to a friend's wedding ?????? I will cry I heard it was a massive game. No worry Monaco will do it in France ?#uefa 
",neutral
"That's what they mean when they say 'mentality of a champion'. #ManCity #ASMonaco Brilliant match! #UEFA #ChampionsLeague #UEFACL #MCIASM 
",positive
"World Soccer Talk : #PSG football fans banned from #Marseille trip – police #soccer https://t.co/RcMbSoRZLJ 
",negative
"Stunning game of football #cityvmonaco #UCL despite #uefa best efforts to push us out. Playing against 12 men yet again. 
",positive
"""Well done Manchester City great comeback exciting play excellent game! #manchestercity #uefa… https://t.co/BFYCuo1DuN ""
",positive
"Aatank ka doosra naam hai City... #UEFA  Entertainment ka doora naam hai City.... BC  One of the sexiest games of UCL. city 5 mon 3  #MCIASM 
",neutral
"""We got """"as advertised"""" in a match involving #ASMonaco. And after #PSG performance last week let's hope this is a new direction for #Ligue1. ""
",neutral
"Fair play to #UEFA for letting @ManUtd have a go on a Wednesday night.
",positive
"Wow!! #goalsongoals in these #uefa #championsleague games! Can @asmonaco and @bayer04fussb… https://t.co/qkJsFpVSJ2 https://t.co/wfawyioLkd 
",positive
"Media call him flop and tonite they call him one of the best world striker radamel falcao #ManCity #uefa 
",neutral
"#congratulation manchester city #uefa cl 
",positive
"Is Benni The Only SOUTH AFRICAN player to win a uefa champions league??? #UEFA @SuperSportTV #UCL #SUPERSPORT
",neutral
"#UCL | Manchester City edge Monaco in eight-goal thriller #UEFA 
",neutral
"Both champions league games were very entertaining and high scoring ?????? #ChampionsLeague #Uefa #ftbol #UefaChampionsLeague 
",positive
"Manchester City edge Monaco in eight-goal thriller https://t.co/Q5rNCS7W8n #UEFA #News
",neutral
"""Any Leicester fans who will be in Seville tomorrow night please comment ? #LeicesterCity #Leicester #Foxes #UCL""
",neutral
"Nothing is more important than Fernando @Torres today! ? #UCL #VamosAtleti
",positive
"I just wanna get home and watch some #UCL ! Leverkusen vs Atleti should be a good one
",positive
"""Monaco have won all 3 of their #UCL knockout ties against English clubs (Man United 1997/98 Chelsea 2003/04 Arsen& https://t.co/P2TaO637dN ""
",positive
"""Atltico Madrid have always progressed past the #UCL Round of 16 under Diego Simeone (2013/14 2014/15 2015/16).& https://t.co/11gKiSy2lV ""
",neutral
"Bayer Leverkusen have scored in all 11 of their #UCL home games against Spanish opposition. #B04ATL https://t.co/Zw14nfNSLB 
",neutral
"Fascinating #ChampionsLeague Tie between Bayer Leverkusen v Athletico Madrid for me to co commentate on ? For viewers outside the UK 
",positive
"Waheyyyyyyy made itttttt.....weeee areeee theeeee championsssss #mcimon #UCL https://t.co/vYD22erlkS 
",positive
"""THE CHAMPIONS! (Booooo!) ????? #MCFC #UCL @ St. John's Newfoundland and Labrador https://t.co/wNUOAw55PA ""
",positive
"Watching a minute behind....?? #mcimon #MCIASM #UCL
",neutral
"Left back position will be zee death of Fernadinho....#MCIASM #UCL 
",neutral
"Let's go Atletico !!! #BayerAtleti #ChampionsLeague 
",positive
"Wow what a goal by At Madrid #ChampionsLeague 
",positive
"""Atletico has scored  1:0 #ChampionsLeague ""
",neutral
"Saul Niguez !!! GOAL !!! 1-0 #BayerAtleti #ChampionsLeague
",neutral
"Madrid came to play ???? #ChampionsLeague #AtleticoMadrid 
",neutral
"That was well offside for City.. wow #UCL #ChampionsLeague 
",neutral
"Imagine having two utterly shite keepers. #MCIASM #ChampionsLeague 
",negative
"So this was according to Macca 'a hint of offside' - WELL offside! @btsportfootball #UCL #MCFC #ChampionsLeague https://t.co/GlGAyPWqz4 
",positive
"Lets goooo tigre ? #falcao #monaco #ChampionsLeague 
",positive
"WHAT A GOAL by Falcao! #MCFCASM #ChampionsLeague #football 
",neutral
"1-1 already it's gonna be a good match #manmon #ChampionsLeague 
",positive
"Aguero booked for diving. Outrageous #ChampionsLeague 
",negative
"@ChampionsLeague biased bastards 
",neutral
"So excited for today's Champions League Final!!!! #UEFA #RealMadrid #Juventus 
",positive
"Who you got?? #ChampionsLeague 
",neutral
"Who wins the #ChampionsLeagueFinal ? #UCL #HalaMadrid #Juve 
",neutral
"It would be really cool if @Cristiano showed up to @carras16 Testimonial tomorrow. Good luck today CR7! #UCL #MUFC #United08Squad 
",positive
"It's almost time...Juventus Vs Real Madrid in the #ChampionsLeague final.Full Preview #UCL 
",neutral
"?#ItsTime ?? - THE FINAL ACT  @ClaMarchisio8 @juventusfcen @juventusfc #UCL #UCLfinal #Cardiff #JuveReal #GIFofJU… https://t.co/fiCm2phqRe 
",neutral
"Heart wants #Juventus tonight. Think #Real maybe too strong. #UCL 
",negative
"""nah he will end up without #UCL trophy just like R9. https://t.co/dUNYs63bHu ""
",neutral
"How did they just get denied a penalty. #manmon #UCL 
",negative
"Macca is clueless. Aguero half way down diving before Subasic even touched him. @btsportfootball - ref got it spot on. Dive #UCL 
",negative
"UCL needs to get proper refs unbelievable 
",neutral
