,player_x,Pos,sf_id,wg_avg_mp,wg_avg_min,wg_avg_gls,wg_avg_asst,wg_avg_gls_asst,wg_avg_value,wg_avg_ovrl,wg_avg_pot,wg_avg_pac,wg_avg_sho,wg_avg_pas,wg_avg_dri,wg_avg_def,wg_avg_phy,wg_avg_titles,wg_avg_num_titles,wg_avg_views_titles,wg_avg_comments,wg_avg_num_comments,target
139,david meyler,MF,187489,20.13,1569.80,2.01,0.57,3.23,1866667.02,47.86,50.84,43.11,40.01,47.15,46.91,43.89,55.54,0.69,22.63,2014145.94,0.38,356.39,0
140,shaun brisley,DF,187797,12.10,1047.27,0.00,-3.76,-3.76,175000.00,45.01,47.61,46.20,20.80,26.53,25.43,45.71,48.74,0.81,11.02,7665.05,0.74,4.08,0
141,ariel borysiuk,MF,187818,15.57,1231.73,0.00,-4.12,-4.12,1143332.45,48.52,53.20,44.80,42.22,46.87,48.07,44.57,48.33,0.47,2.22,1623.47,1.03,1.43,0
142,diallo guidileye,MF,187940,16.35,1194.66,-3.76,1.52,1.40,501666.98,46.93,52.26,47.20,24.99,41.55,39.25,43.65,53.00,0.70,0.57,2872.32,1.53,0.82,0
143,rudy gestede,FW,187942,16.42,855.18,7.03,1.88,8.42,2100002.28,46.54,48.39,51.51,45.43,30.11,40.75,20.77,48.95,1.11,26.51,119942.51,0.62,82.99,0
144,ze eduardo,MF,188001,17.63,1363.33,0.67,0.69,2.42,396666.07,44.07,49.89,51.80,39.46,44.80,45.97,32.17,55.30,0.80,11.55,51577.03,0.99,9.68,0
145,rubén rochina,"FW,MF",188103,8.88,496.74,-3.05,-3.54,-2.05,1050000.00,49.05,55.06,49.49,49.45,47.25,49.97,27.81,48.79,0.91,20.68,82957.46,1.04,52.67,0
146,juanfran,"DF,FW",188135,25.48,2018.16,0.21,1.05,2.75,1633333.68,50.65,54.39,56.22,43.72,46.23,49.69,46.06,52.98,0.73,22.17,2728125.99,1.22,211.88,0
147,matt phillips,"DF,FW",188166,18.40,1303.82,2.10,4.00,5.58,3150000.76,49.95,54.13,61.60,43.07,45.09,51.58,23.31,46.25,0.79,26.04,409535.81,1.05,2936.57,0
148,emmanuel riviere,FW,188289,14.19,683.91,4.99,1.40,6.20,3616667.13,50.85,53.87,56.65,49.93,42.22,48.52,24.50,48.53,0.72,18.76,311249.28,0.57,147.93,0
149,giannis papadopoulos,MF,188330,6.08,376.32,0.47,0.00,0.47,256666.42,21.81,25.68,26.82,15.28,20.46,21.83,20.46,23.19,0.83,10.43,75772.51,1.60,23.02,0
150,diego polenta,"DF,MF",188485,20.65,1831.80,-3.06,0.00,-3.06,945000.58,23.67,27.54,22.79,11.47,13.70,13.04,23.23,29.11,0.66,17.00,655555.15,0.94,88.11,0
151,daniel pacheco,"FW,MF",188554,17.43,1070.71,-3.05,1.61,3.24,700000.60,49.00,54.60,53.42,48.08,48.30,53.67,20.30,41.80,0.85,18.76,1040775.02,0.93,316.36,0
152,gai assulin,MF,188572,13.87,739.38,-3.54,-3.66,-3.05,373332.98,44.80,51.03,57.63,38.50,35.95,56.70,20.30,34.30,0.70,19.00,44852.73,1.10,39.28,0
153,alexandre coeff,"DF,MF",188601,9.61,902.75,-3.76,-4.12,-4.24,559999.56,46.99,53.19,45.24,33.89,43.21,42.51,46.50,47.68,0.78,22.09,803793.58,0.82,59.65,0
154,william remy,DF,188602,14.28,982.21,6.36,-3.53,2.83,560001.39,44.67,49.32,51.39,21.67,25.57,30.80,44.44,53.98,0.83,22.06,3037090.76,0.85,646.39,0
155,joel ekstrand,DF,188625,20.52,1643.10,0.47,4.23,1.30,875000.60,48.56,52.99,35.92,21.29,35.97,34.08,49.96,49.26,0.68,4.33,44882.48,0.95,38.36,0
156,alassane toure,DF,188706,6.50,587.43,0.00,0.23,0.23,303332.89,42.48,45.54,48.27,17.34,35.00,33.38,41.34,51.14,0.92,16.15,117172.69,1.14,44.05,0
157,adan gurdiel,"DF,MF",188813,11.56,643.24,0.23,5.29,5.52,93348.24,39.33,44.49,40.31,35.18,38.76,38.10,34.50,38.52,0.70,2.08,1324.39,1.00,135.44,0
158,emmanuel imorou,DF,188824,21.47,1821.95,0.23,0.23,0.47,781667.71,47.35,50.84,50.17,36.62,43.37,44.72,46.39,51.36,0.89,14.71,127061.03,0.67,55.55,0
159,jason steele,GK,188836,21.36,1938.66,0.00,0.00,0.00,770000.00,48.30,53.62,49.70,46.90,46.39,50.40,39.20,47.60,0.97,29.27,640931.83,1.08,222.12,0
160,alexander bittroff,DF,188872,21.47,1897.94,-3.53,0.70,0.57,536666.32,45.06,47.82,56.70,28.55,37.37,43.66,43.88,49.70,-3.53,0.66,3518.22,1.54,2.37,0
161,holmar orn eyjolfsson,"DF,MF",188916,9.86,615.98,4.46,0.00,4.46,385000.72,44.58,47.60,41.09,30.10,36.40,35.00,44.62,48.30,0.70,4.69,1110.01,2.24,0.44,0
162,florian riedel,DF,188989,8.49,488.10,-3.76,0.00,-3.76,209999.40,42.26,46.20,53.90,29.89,40.60,41.37,42.04,43.18,0.85,10.18,26724.67,1.04,10.87,0
163,sascha burchert,GK,189061,5.79,413.04,0.00,0.00,0.00,198332.73,45.06,48.10,41.82,47.37,44.58,44.83,31.50,45.99,0.82,3.44,282919.18,1.12,18.69,0
164,samuel souprayen,DF,189155,21.09,1859.08,4.46,0.23,4.69,933332.85,45.75,48.75,49.90,15.84,37.80,40.60,46.20,50.25,0.73,22.30,103284.56,1.00,57.25,0
165,yannick bolasie,"FW,MF",189157,24.53,1865.14,1.88,3.83,5.60,3500001.99,51.14,54.61,60.23,45.54,44.15,54.68,20.80,53.49,0.87,20.51,694241.27,1.10,82.74,1
166,alex macdonald,"FW,MF",189163,11.70,376.20,0.00,5.06,5.06,151666.22,41.33,45.75,49.70,41.78,38.05,42.00,27.81,52.53,0.87,27.60,597319.39,1.05,69.07,0
167,aron gunnarsson,"DF,MF",189167,26.37,1945.41,2.43,1.89,4.83,1866667.02,47.33,49.84,48.71,43.14,46.38,48.05,43.88,52.77,0.88,19.43,307793.77,0.88,46.37,0
168,fidel,"FW,MF",189172,22.93,1511.53,0.44,0.48,2.20,1983333.18,50.62,52.26,58.77,43.19,43.93,52.69,17.07,43.44,0.79,23.41,298757.28,0.70,112.31,0
169,manuel bonaque,DF,189174,-4.26,36.49,0.00,0.00,0.00,81681.57,20.92,23.64,22.05,8.83,8.83,16.86,22.28,20.02,0.70,5.29,115.16,0.87,13.36,0
170,andrea mazzarani,MF,189192,19.58,1034.56,5.17,-3.54,5.97,630000.10,46.65,52.44,53.01,43.14,45.25,49.52,25.37,46.42,0.69,13.34,19028.10,1.52,2.64,0
171,sascha bigalke,"FW,MF",189209,5.31,364.20,0.70,-3.54,0.91,291666.07,24.55,26.82,31.14,21.83,22.51,27.05,6.49,14.85,0.70,-3.66,3004.69,1.76,0.21,0
172,giovanni formiconi,DF,189337,-3.76,-2.47,0.00,0.00,0.00,128334.53,5.81,7.79,8.89,-0.74,4.08,4.73,5.60,7.35,0.70,2.57,1547.63,0.37,4.36,0
173,umberto eusepi,FW,189339,10.54,561.18,-3.76,-3.75,-3.67,280000.44,29.89,31.51,37.60,29.89,17.99,29.70,10.81,27.31,0.67,28.97,46321.27,0.81,4.75,0
174,matteo gentili,DF,189340,8.49,672.25,-4.24,4.23,-0.01,93333.93,28.50,30.83,25.67,14.99,14.47,18.20,28.52,33.60,0.74,21.55,37861.51,1.51,13.32,0
175,carlo pinsoglio,GK,189342,23.00,2016.60,0.00,0.00,0.00,583333.78,45.53,49.91,46.24,43.22,39.59,49.06,29.40,45.25,0.77,12.82,90713.57,0.97,10.02,0
176,deniz naki,FW,189389,8.95,381.98,-4.12,-4.12,-4.26,419999.65,23.64,25.91,28.64,20.24,21.59,26.37,6.03,20.92,0.86,8.45,28581.55,1.44,13.55,0
177,florian jungwirth,"DF,MF",189397,19.37,1458.92,0.23,-3.06,-2.83,548333.57,47.17,49.95,46.20,21.58,39.51,41.67,47.16,50.20,0.70,4.42,12932.60,1.06,19.57,0
178,jean-alain fanchone,DF,189415,11.11,667.98,0.23,4.23,4.46,466667.27,45.27,48.29,49.70,35.70,41.77,44.13,45.01,43.88,0.70,5.09,37673.80,0.89,43.09,0
179,jean-alain fanchone,DF,189415,11.11,667.98,0.23,4.23,4.46,466667.27,45.27,48.29,49.70,35.70,41.77,44.13,45.01,43.88,0.70,5.09,37673.80,0.89,43.09,0
180,jean-alain fanchone,DF,189415,11.53,888.53,-3.53,4.23,0.70,466667.27,45.27,48.29,49.70,35.70,41.77,44.13,45.01,43.88,0.70,5.09,37673.80,0.89,43.09,0
181,jean-alain fanchone,DF,189415,11.53,888.53,-3.53,4.23,0.70,466667.27,45.27,48.29,49.70,35.70,41.77,44.13,45.01,43.88,0.70,5.09,37673.80,0.89,43.09,0
182,simone colombi,GK,189430,9.75,1030.59,0.00,0.00,0.00,956666.67,46.43,53.11,48.53,44.80,35.93,50.89,28.00,45.93,0.77,25.47,52089.40,1.48,14.97,0
183,rasmus jonsson,"FW,MF",189431,8.23,441.44,3.41,0.00,3.41,700000.00,47.82,52.94,48.30,47.12,43.84,48.30,23.10,42.22,0.70,2.33,4055.24,0.74,18.71,0
184,benjamin hubner,DF,189433,20.52,1770.99,1.40,5.64,2.89,618334.48,46.50,48.39,42.12,21.35,33.74,36.85,46.50,48.57,0.82,12.06,14731.54,1.00,6.88,0
185,simone esposito,"FW,MF",189438,-4.24,10.44,0.00,0.00,0.00,75832.73,7.13,8.01,9.55,4.73,5.81,8.01,0.69,3.22,0.74,33.37,691988.50,2.03,41.65,0
186,luca castiglia,MF,189439,19.57,1295.17,0.01,0.00,0.01,280000.19,43.68,47.87,42.76,37.92,44.83,44.07,37.40,48.84,0.73,27.94,54825.41,1.19,22.22,0
187,junior stanislas,"FW,MF",189446,16.64,857.45,0.48,-3.22,2.22,816666.32,46.89,50.57,58.80,43.61,43.63,48.29,23.18,39.40,0.96,29.38,1872342.57,0.97,87.95,0
188,dennis daube,MF,189464,18.79,1278.70,0.93,3.73,4.67,489999.88,46.42,50.13,49.91,41.07,47.57,48.52,38.50,47.37,0.70,5.50,10877.82,0.70,5.99,0
189,fausto rossi,MF,189477,19.85,1369.33,0.23,-3.06,-2.83,1516668.22,49.10,54.59,49.66,40.15,50.05,49.73,39.98,42.04,0.71,23.07,60508.73,0.77,20.57,0
190,jose antonio rios,DF,189482,17.30,1191.57,5.06,5.52,6.59,233334.73,42.22,46.20,54.14,31.68,38.34,38.30,39.87,47.64,0.73,17.95,825580.03,0.61,36.52,0
191,diego farias,FW,189485,17.13,1068.63,3.29,1.43,5.16,933334.32,48.80,52.51,59.99,42.71,40.88,54.17,21.07,34.10,0.89,19.94,229743.32,1.27,65.64,0
192,stuart o'keefe,MF,189492,3.64,152.20,0.23,0.00,0.23,525001.20,45.75,49.88,48.96,39.90,42.69,46.65,41.37,50.42,1.04,5.60,29546.24,0.77,15.49,0
193,chris solly,DF,189541,22.02,1941.64,-3.76,0.84,0.92,548333.39,46.20,51.31,50.40,24.50,39.20,46.20,46.20,50.18,0.82,19.64,113225.41,0.71,43.48,0
194,francesco bombagi,MF,189546,-2.42,146.53,0.00,-3.76,-3.76,110834.18,7.13,8.23,10.44,6.03,6.03,7.57,0.27,6.47,0.68,18.32,17043.89,1.06,0.21,0
195,andrea rispoli,"DF,MF",189557,17.75,1432.14,-2.83,0.32,1.36,536667.27,45.91,48.69,54.60,36.35,40.79,43.17,45.09,53.90,0.93,29.30,51686.38,1.16,15.59,0
196,bartosz salamon,"DF,MF",189558,-1.26,448.22,-4.24,-3.76,-4.26,1633332.73,47.57,53.58,41.04,34.29,43.47,42.40,45.73,52.00,0.62,12.75,40323.22,0.92,29.81,0
197,bengali-fode koita,"FW,MF",189561,19.37,1043.15,2.33,1.53,3.46,420001.04,45.58,50.63,53.23,42.51,37.11,45.39,18.71,42.57,0.70,1.75,61901.46,0.57,27.33,0
198,manuel schaffler,FW,189607,16.28,818.69,4.06,1.88,5.03,268333.22,7.13,7.79,8.67,6.69,4.29,6.91,-0.94,9.11,0.70,9.98,27954.34,1.33,1.62,0
199,aaron cresswell,"DF,MF",189615,29.23,2637.20,1.28,4.94,6.52,2975002.05,49.02,54.54,57.39,38.50,47.41,48.08,47.85,42.74,0.87,24.26,1464896.78,0.89,89.13,0
200,ben mee,DF,189682,21.48,1774.68,1.30,0.93,1.98,1050000.60,46.76,49.28,48.53,24.34,38.63,41.08,46.99,52.79,0.81,11.41,81342.87,0.74,50.44,0
201,mirko eramo,MF,189751,14.72,1195.88,-4.04,0.93,1.27,419999.84,45.51,48.11,49.92,42.47,44.81,46.47,38.27,45.54,0.71,17.97,28226.53,0.56,1.12,0
202,samuele romeo,DF,189827,-2.42,238.52,0.00,0.00,0.00,104999.40,19.11,22.28,15.06,5.90,9.48,13.72,19.11,18.44,0.74,16.30,12430.41,1.47,8.34,0
203,joseph mills,"DF,MF",189836,13.32,981.41,0.00,-0.01,-0.01,256666.07,42.47,46.20,51.62,31.50,39.73,43.66,41.77,45.54,0.73,24.27,20007.37,0.36,12.01,0
204,oscar gobern,"DF,MF",189842,11.17,660.21,4.23,1.76,2.35,245000.41,44.33,49.64,47.34,34.30,42.47,43.39,43.44,43.69,0.65,5.57,13343.29,-0.34,15.98,0
205,carlos lazaro,MF,189858,12.82,839.25,-3.76,0.00,-3.76,209999.75,45.29,49.70,42.00,37.35,48.55,46.45,36.65,38.75,0.60,18.20,1054320.47,1.16,17.73,0
206,kiko femenia,"DF,FW",189860,12.05,684.86,-3.76,0.47,0.10,419999.21,45.46,50.59,57.40,40.60,38.72,50.81,30.80,41.30,0.75,19.98,43627.90,0.88,20.05,0
207,luke o'neill,"DF,MF",189900,4.13,177.96,0.00,0.00,0.00,175000.00,40.94,47.16,47.76,28.28,36.61,40.31,41.83,44.27,0.80,21.55,30462.51,1.06,9.47,0
208,curtis main,FW,189910,18.19,838.71,3.65,5.29,4.54,198333.49,41.53,48.02,39.51,43.40,30.10,38.25,20.30,41.17,0.97,17.03,322735.87,1.53,86.31,0
209,alessandro ligi,DF,189942,14.35,1253.38,0.23,4.23,4.46,169167.87,44.37,47.83,46.90,19.50,27.32,31.46,44.16,51.33,0.76,17.96,103708.46,0.89,43.02,0
210,yoric ravet,"FW,MF",189945,21.86,1494.74,5.28,4.33,8.90,793334.53,46.49,51.59,54.24,38.02,43.44,46.47,25.20,42.54,0.48,8.57,44633.98,1.37,10.51,0
211,vincent manceau,"DF,MF",189946,21.35,1690.54,0.47,0.93,1.40,443333.74,42.52,48.05,38.70,25.20,38.61,38.78,40.91,50.24,0.65,13.47,90014.10,0.78,65.06,0
212,edu bedia,MF,189958,17.78,1459.11,-2.58,-3.22,-0.84,863332.67,45.05,49.42,41.91,40.06,48.75,43.89,31.50,37.50,0.84,25.11,50444.47,1.17,11.75,0
213,yannis salibur,"FW,MF",190014,15.07,1232.58,-2.61,0.09,2.07,641666.92,46.73,50.93,60.23,42.57,40.48,49.52,26.46,41.88,0.81,13.91,43812.42,0.37,28.10,0
214,savvas gentsoglou,MF,190090,15.51,986.93,0.00,-4.24,-4.24,559999.78,45.93,49.87,48.74,31.50,44.58,44.54,44.32,54.39,0.82,4.47,11707.79,1.12,4.56,0
215,aidy white,"DF,MF",190140,4.96,489.81,-3.76,-3.76,-4.12,431665.76,45.95,48.96,62.26,40.16,41.75,46.86,45.01,41.50,0.94,10.66,25147.84,1.06,16.40,0
216,david rochela,DF,190151,-3.34,219.65,0.00,-3.76,-3.76,256666.77,6.91,8.89,6.69,-0.13,5.16,4.51,6.69,7.57,0.70,5.48,13270.73,0.72,5.32,0
217,alex marrow,MF,190159,7.72,470.44,4.23,0.23,4.46,116651.92,21.13,23.86,25.46,17.71,20.24,21.59,21.37,24.55,0.83,9.41,7262.25,0.80,4.67,0
218,mamadou samassa,GK,190195,13.11,1249.94,0.00,0.00,0.00,933332.98,47.65,51.09,51.14,46.54,41.39,53.25,38.65,42.50,0.68,15.75,284694.92,1.02,160.47,0
219,zargo toure,"DF,MF",190196,24.40,2138.57,0.00,0.23,0.23,770000.35,44.61,50.42,45.82,19.60,32.20,31.50,43.22,52.57,0.70,17.56,146231.54,0.60,59.35,0
220,mattia minesso,FW,190201,10.63,448.95,-3.66,-3.53,-3.54,163334.07,40.38,44.57,46.30,39.39,36.71,42.47,20.15,38.50,0.82,6.21,6115.86,1.83,9.79,0
221,iago falque,"FW,MF",190264,15.32,1084.87,1.98,2.01,4.14,2800001.20,50.91,56.21,53.42,45.79,49.49,56.49,22.40,37.60,0.71,27.02,232642.42,0.67,36.86,0
222,gonzalo herrero,"DF,MF",190285,-4.12,18.97,0.00,0.00,0.00,23319.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.83,9.24,33283.45,1.35,10.50,0
223,nicola rigoni,MF,190330,14.53,1067.36,1.88,-3.53,1.75,595001.04,42.23,48.51,43.62,36.68,44.11,41.97,34.53,45.98,0.82,28.54,92795.49,0.75,12.79,0
224,raul goni,DF,190421,-1.31,375.20,0.00,0.00,0.00,93318.43,22.28,24.77,18.21,4.07,16.86,16.41,22.73,24.32,0.67,11.32,71882.60,0.92,25.80,0
225,emmanuel frimpong,MF,190445,5.25,262.57,0.00,0.23,0.23,1190000.06,47.37,52.02,49.66,39.00,44.14,47.61,44.77,56.70,0.41,22.73,403754.27,0.22,441.05,0
226,nathan eccleston,FW,190446,3.07,69.35,-3.53,0.00,-3.53,128332.54,44.32,49.70,52.50,44.54,35.00,46.20,19.69,42.00,1.15,12.21,33371.03,1.31,18.26,0
227,björn sigurðarson,FW,190461,15.55,872.03,1.89,0.34,2.78,1143332.70,48.26,51.50,54.59,46.38,39.68,48.96,25.69,53.68,0.70,3.07,18187.02,1.01,5.35,0
228,reuben noble-lazarus,"FW,MF",190466,2.16,184.36,-3.76,0.00,-3.76,151666.47,42.67,46.90,55.97,40.88,35.75,44.57,19.10,42.70,0.46,8.85,29227.75,1.02,9.54,0
229,terence makengo,FW,190488,13.62,737.53,2.83,-3.76,2.46,373333.33,42.70,48.92,59.25,42.70,25.90,42.70,18.33,34.59,0.70,11.61,67060.97,1.06,22.18,0
230,karim laribi,"FW,MF",190499,14.55,873.08,7.65,8.55,10.92,513334.67,46.94,52.01,56.99,40.18,43.53,49.52,26.02,34.30,0.79,18.99,35275.38,1.23,15.98,0
231,flamur kastrati,FW,190518,7.79,280.02,4.23,0.00,4.23,233333.58,44.58,51.10,58.13,41.78,37.58,47.83,21.62,48.95,0.64,5.28,32605.52,0.85,8.73,0
232,thomas fontaine,DF,190530,6.21,1070.68,0.00,0.00,0.00,326667.11,43.18,50.09,50.48,18.60,35.70,27.86,41.30,48.33,0.71,19.74,2007750.36,0.69,79.19,0
233,ulises davila,"FW,MF",190581,17.12,1050.82,1.37,-3.67,2.45,1003333.21,47.34,53.13,52.97,47.13,44.57,49.66,21.70,38.75,0.67,23.70,166664.61,0.77,53.53,0
234,riccardo brosco,DF,190602,22.64,1802.61,1.88,0.00,1.88,513333.93,44.55,49.91,38.50,23.82,26.46,29.85,45.03,48.08,0.70,11.92,7787.16,1.48,2.22,0
235,jonathan obika,FW,190665,13.61,557.28,3.41,-3.53,3.63,105014.75,44.10,46.90,50.88,43.40,27.30,41.05,20.59,45.50,0.75,6.69,62141.62,0.71,71.87,0
236,manuel gulde,DF,190666,12.91,1028.84,1.30,0.00,1.30,443333.93,46.69,49.69,46.28,27.30,38.75,40.15,46.69,45.03,0.82,7.77,4764.37,0.92,19.71,0
237,mana dembele,FW,190685,18.28,1331.82,6.46,1.76,7.70,700000.25,45.32,48.78,62.51,43.70,37.58,44.66,17.28,36.88,0.82,17.79,88689.04,1.08,85.03,0
238,michail antonio,"FW,MF",190717,25.86,2172.25,6.55,6.08,12.27,2333334.67,47.41,52.06,62.79,47.38,42.29,49.29,25.40,49.53,0.87,27.51,415603.15,0.96,146.26,0
239,marvin sordell,FW,190722,15.24,710.06,-2.62,-3.89,-2.27,1236665.87,46.86,51.96,59.04,46.16,41.30,46.84,23.10,51.06,0.71,17.98,106442.47,0.86,96.12,0
240,giorgi makaridze,GK,190734,3.49,788.73,0.00,0.00,0.00,315000.73,6.69,8.67,7.35,6.91,2.58,6.91,-0.34,6.25,0.58,6.50,25070.19,0.68,-0.94,0
241,marco silvestri,GK,190745,17.04,1441.84,0.00,0.00,0.00,303333.78,47.66,53.40,51.48,44.30,37.49,53.51,33.44,45.29,0.74,31.25,229593.91,1.42,35.67,0
242,pascal gross,"FW,MF",190765,21.81,1766.56,3.65,6.83,8.76,1073334.59,48.39,51.39,47.83,41.68,49.06,47.93,40.97,47.94,0.89,24.23,456008.97,0.84,93.10,0
243,eugenio lamanna,GK,190769,18.91,1794.24,0.00,0.00,0.00,1026667.36,47.35,51.52,47.35,48.05,45.95,49.45,21.70,46.65,0.71,11.25,12889.57,0.62,5.00,0
244,omar elabdellaoui,"DF,MF",190824,13.93,1072.31,4.23,5.06,5.64,1750001.30,48.07,52.74,57.63,35.97,47.16,51.12,43.78,41.67,0.75,8.21,101276.52,0.82,33.60,0
245,adam smith,"DF,MF",190885,14.60,844.30,-3.76,0.10,-0.01,583349.88,46.67,52.49,52.08,36.40,44.58,47.39,45.97,43.18,0.85,25.88,201828.68,1.15,103.10,0
246,connor wickham,"FW,MF",191089,5.89,393.84,4.13,4.23,4.46,4200000.41,49.74,56.64,51.40,50.22,39.59,49.48,19.13,53.00,0.91,27.74,285315.99,1.19,187.07,0
247,lago junior,"FW,MF",191135,18.82,1280.70,4.81,1.30,5.16,233334.07,28.28,33.08,37.84,26.63,19.18,28.25,10.07,32.45,0.70,19.60,801866.03,0.51,18.92,0
248,samba sow,MF,191151,17.22,1282.24,4.23,0.47,1.30,1120000.41,46.32,50.47,53.20,29.04,40.43,45.17,45.79,54.16,0.68,9.18,89605.61,-3.60,21.51,0
249,márkó futács,FW,191152,10.72,491.10,4.46,6.12,5.71,676667.67,44.55,48.05,37.33,46.65,37.15,37.35,19.16,51.55,0.57,1.97,18799.42,1.67,7.69,0
250,davide petrucci,MF,191192,6.45,326.62,0.47,5.06,1.88,256682.30,19.11,24.27,23.19,19.11,17.31,20.47,5.04,16.48,0.88,13.26,104333.36,1.38,36.02,0
251,jesus ayala,MF,191220,-4.12,-3.17,0.00,0.00,0.00,17500.00,44.80,46.20,40.31,44.10,29.40,38.50,20.80,44.59,0.73,12.96,54393.73,0.21,84.85,0
252,christoph menz,"DF,MF",191235,16.73,1074.79,0.23,6.36,6.59,279999.56,21.81,23.41,24.09,9.27,18.24,20.47,21.59,24.33,1.07,2.32,9573.71,0.63,-3.45,0
253,marcel gaus,"DF,FW",191252,10.36,734.42,1.63,1.28,3.07,560000.00,46.94,49.52,57.43,41.56,42.74,47.86,32.20,46.20,0.86,8.25,19384.83,0.91,7.38,0
254,marco d'alessandro,"DF,FW",192071,22.19,1409.34,-3.42,0.71,1.59,110832.13,48.29,53.17,63.00,41.78,43.15,49.96,21.58,38.24,0.62,23.96,690186.24,1.12,49.18,0
255,chris wood,FW,192123,19.48,1344.79,6.31,2.92,9.95,1236667.11,49.21,52.71,45.46,51.31,36.40,45.01,25.20,49.70,0.83,26.98,268570.07,0.97,85.39,0
256,daniel adejo,DF,192179,23.60,2108.89,1.17,5.06,2.23,478333.03,23.85,24.77,29.54,11.91,15.73,17.98,22.71,30.69,0.62,13.27,12187.25,0.77,4.33,0
257,pasquale maiorino,FW,192255,1.59,73.65,0.00,0.00,0.00,175001.30,6.69,8.67,7.57,5.16,5.81,7.35,0.48,5.16,0.76,9.45,7178.91,0.36,14.78,0
258,christopher buchtmann,"DF,MF",192321,12.10,956.85,4.23,-3.07,1.15,536666.80,46.91,52.73,54.54,43.58,45.80,50.66,37.45,42.38,0.87,4.32,7142.28,1.44,2.04,0
259,javier aquino,"DF,FW",192350,13.92,798.27,4.23,3.02,3.41,1983334.18,51.10,55.76,63.22,44.80,48.30,54.12,23.10,37.10,0.89,20.89,642848.17,1.05,174.47,0
260,daniel ginczek,FW,192445,10.79,880.26,4.96,-3.89,5.57,1983333.93,51.16,54.39,51.80,51.16,32.49,45.98,23.67,54.17,0.74,28.55,317615.67,0.95,135.88,0
261,kevin scheidhauer,FW,192447,13.33,707.23,0.69,1.53,2.32,169166.82,43.83,48.42,39.83,44.76,34.10,40.12,22.28,46.52,0.68,10.72,63379.41,0.59,7.46,0
262,marco stiepermann,"FW,MF",192449,20.42,1415.04,3.16,3.97,6.96,618333.58,47.12,51.80,51.10,47.38,44.32,49.00,23.10,48.30,0.85,24.29,184990.90,1.18,45.83,0
263,adam matuszczyk,MF,192471,13.11,867.57,-3.76,4.46,0.70,700000.00,49.92,52.72,46.65,46.90,48.08,50.40,47.82,48.98,0.53,3.41,8727.23,1.51,4.19,0
264,lee novak,FW,192473,21.49,1328.56,1.84,0.01,3.13,373333.33,45.75,48.02,48.74,45.99,39.34,42.99,24.73,52.29,0.93,30.33,219490.64,0.62,140.45,0
265,lennart thy,FW,192561,18.46,1166.79,3.72,2.58,5.16,443333.47,46.20,51.31,55.33,45.49,42.00,48.72,22.47,49.31,0.80,19.86,39768.05,1.03,12.71,0
266,timo perthel,"DF,MF",192617,12.97,988.33,-4.26,2.79,2.33,595000.05,46.47,49.02,54.42,40.65,44.83,46.67,43.03,52.08,0.70,4.00,11683.16,0.51,6.27,0
267,shane ferguson,"DF,MF",192624,9.76,601.74,-3.53,1.98,2.10,933332.98,45.95,51.97,53.90,37.10,40.80,51.10,44.80,37.10,0.77,21.71,154830.96,0.76,63.39,0
268,marcos alonso,"DF,MF",192638,14.79,1254.84,-0.03,1.75,2.22,2333334.46,48.36,54.11,50.72,41.30,44.39,46.01,47.42,50.73,0.80,18.63,361564.09,1.13,368.77,1
269,michael schulze,DF,192661,14.23,1223.13,-4.12,4.23,0.10,466666.78,45.51,49.20,49.50,30.35,41.07,45.05,44.81,45.49,0.85,21.50,78555.75,1.21,28.00,0
270,ali bamba,DF,192672,7.62,436.13,5.06,0.00,5.06,350000.00,20.91,24.08,24.76,8.39,16.63,17.53,20.46,28.19,0.52,10.79,31256.60,1.34,10.44,0
271,leandro montagud,GK,192674,-4.12,33.52,0.00,0.00,0.00,93333.33,20.02,22.93,19.11,22.73,20.47,18.66,14.33,19.57,0.70,4.23,570.96,0.58,3.06,0
272,kike,FW,192678,27.90,2112.67,9.44,3.06,12.76,1446667.93,48.60,52.78,47.20,47.68,38.55,48.17,20.98,49.52,0.65,18.68,58629.36,0.94,12.09,0
273,marvin esor,DF,192711,13.06,1083.22,0.00,-3.76,-3.76,396666.07,44.59,48.75,53.40,29.67,42.74,36.34,40.65,53.22,0.70,8.62,39942.15,0.61,27.44,0
274,charley fomen,DF,192712,-2.47,269.41,0.00,0.00,0.00,128318.18,6.91,8.23,9.11,3.65,6.03,6.69,6.03,9.55,0.70,-3.92,9188.82,0.77,22.08,0
275,juanpe,DF,192715,18.99,1397.93,0.70,0.23,0.93,186667.62,43.40,46.20,37.10,19.79,33.44,31.71,43.65,47.11,0.70,14.97,922430.06,0.79,8.94,0
276,maxime le marchand,"DF,MF",192725,21.61,1828.55,4.69,0.00,4.69,443333.74,44.20,48.41,44.30,18.90,35.34,31.75,43.77,52.99,0.89,18.30,105146.89,0.64,64.82,0
277,marc muniesa,"DF,MF",192766,10.51,731.86,0.00,0.00,0.00,1633333.68,48.35,55.51,48.34,23.25,40.54,42.66,49.70,47.48,0.64,22.53,264708.21,0.96,158.75,0
278,tongo doumbia,MF,192767,21.42,1725.82,2.45,0.80,3.50,1341666.67,50.18,54.58,54.45,43.02,47.42,48.58,49.99,56.09,0.82,10.98,146196.91,0.79,67.84,0
